LSOA,FTTP_AVAILABILITY,FTTC_AVAILABILITY,GFAST_AVAILABILITY,DSL_AVAILABILITY,CABLE_AVAILABILITY,OPERATOR_COUNT,DOWN_MBPS,UP_MBPS
E01025097,0.965517,1,0,1,0.965517,6.896552,54.25817949,11.01283333
E01017092,0.65625,0.84375,0.15625,1,0.84375,8.4375,52.213125,6.79
S01012845,0,0.923077,0,1,0.846154,5.5,42.67033333,8.031555556
E01001419,0.023256,1,0,1,0.883721,5.72093,82.46619444,16.6365
E01006127,0,0.740741,0,1,0.888889,5.407407,123.9825,20.03866667
S01008884,0.96875,0.75,0,0.75,0.9375,7.96875,117.6457778,16.29244444
S01007871,0.090909,1,0,1,0,3,17.07714286,2.870666667
E01012920,0.83871,0.467742,0,0.774194,0,2.612903,33.4417,17.573865
E01027059,0.939394,0.060606,0,0.060606,0.969697,4.969697,135.1699333,21.5617
E01000803,0.222222,1,0,1,0.972222,6.083333,65.00430769,13.00742308
E01030061,0.166667,0.979167,0,0.979167,0,2.958333,30.57343137,7.914857843
E01013636,0,0.947368,0,1,0.947368,5.842105,63.21451515,7.998424242
E01021317,0,1,0,1,1,4.95,117.28825,15.075125
E01026891,0.342466,0.986301,0,0.986301,0,3.291667,40.5645,18.79416667
E01021198,0.102941,0.941176,0,0.955882,0,1.955882,31.5456,8.234433333
E01008520,0.969697,0.030303,0,0.030303,0.969697,4.878788,64.58441667,7.829283333
E01029664,1,0.413793,0.586207,1,1,8.896552,57.54526923,13.17039744
S01006702,1,1,0,1,0,7,81.12185417,17.16679167
E01024385,0.023256,0.44186,0.55814,1,0.837209,6.116279,84.15952941,14.54464706
E01003431,0.875,0.125,0,0.125,1,5.125,119.0738889,19.36888889
E01009043,0.969697,0.030303,0,0.030303,0.969697,4.787879,121.8821786,19.29457143
E01012337,0,0.625,0,0.975,0.925,5.4,62.17478125,10.45277083
E01017957,0.535714,0.107143,0.821429,1,0.464286,5.571429,61.25071111,12.61887778
