"","DZ_code","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"249","S01006754",6514,3120,2274,5527,1488,777,2118,21818,2505
"250","S01006755",1132,1908,463,1224,1773,2183,5306,13989,864
"251","S01006756",2059,948,1552,1232,954,778,545,8068,190
"252","S01006757",6362,3008,4303,4111,739,292,3603,22418,2641
"253","S01006758",4889,2095,742,4384,101,779,3281,16271,1289
"254","S01006759",5047,2677,1059,2376,1203,293,1308,13963,857
"255","S01006760",3758,2314,1132,3338,160,1758,4138,16598,1360
"256","S01006761",6682,3323,1602,5588,235,34,2738,20202,2132
"257","S01006762",4839,3807,1844,6741,2739,780,5846,26596,3861
"258","S01006763",484,1662,223,318,229,1759,1457,6132,89
"259","S01006764",1869,2100,729,2207,373,294,2044,9616,308
"260","S01006765",1418,2507,681,4577,297,781,2741,13002,699
"261","S01006766",2753,1142,494,2429,880,295,3942,11935,553
"262","S01006767",5740,3996,2185,2255,2928,1285,2224,20613,2231
"263","S01006768",4702,1163,704,526,174,35,3260,10564,407
"264","S01006769",4752,3703,1755,1661,2693,2184,177,16925,1432
"265","S01006770",6328,2867,1103,4076,527,782,784,16467,1326
"266","S01006771",3288,1871,562,265,268,783,2616,9653,311
"267","S01006772",4603,3025,1245,4897,335,36,3271,17412,1535
"268","S01006773",5730,2970,1520,2736,764,784,5147,19651,2006
"269","S01006774",5282,2081,586,883,388,296,911,10427,387
"270","S01006775",1658,4118,1304,6285,3728,2546,5782,25421,3490
"271","S01006776",6401,6011,6367,6333,5865,4647,2941,38565,6830
"272","S01006777",6794,2746,1086,2787,548,37,2887,16885,1421
"273","S01006778",6241,3932,3262,4973,2467,1286,3616,25777,3602
"274","S01006779",3092,5371,4775,3717,5636,4422,2498,29511,4883
"275","S01006780",5020,3393,1617,4670,3379,2547,1642,22268,2606
"276","S01006781",6021,3525,2707,3881,1464,785,1151,19534,1984
"277","S01006782",2236,2914,740,3696,2220,297,2939,15042,1055
"278","S01006783",6782,4029,4417,4744,3019,2548,764,26303,3756
"279","S01006784",3670,1427,1615,6005,109,1287,3096,17209,1491
"280","S01006785",2948,2156,563,611,386,38,5143,11845,544
"281","S01006786",3370,1552,760,1408,1646,1288,985,11009,445
"282","S01006787",5778,3132,3186,4612,2807,1760,2631,23906,3034
"283","S01006788",275,2711,210,6473,115,1289,4985,16058,1248
"284","S01006789",6786,2895,4591,5770,1811,2185,6268,30306,5153
"285","S01006790",6743,3300,5334,5239,4724,2186,5235,32761,5926
"286","S01006791",4967,2512,3036,5468,2317,2549,6967,27816,4283
