"","LSOA","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"344","E01000357",14293,17975,1249,4863,1778,569,9350,50077,898
"345","E01000358",20512,16960,4102,12417,6107,5683,18430,84211,6521
"346","E01000359",24037,18555,4082,17892,1225,5174,8904,79869,5523
"347","E01000360",16804,14660,17528,9031,6270,18596,18093,100982,11168
"348","E01000361",12010,18944,3789,7753,11737,12732,14247,81212,5824
"349","E01000362",18597,17352,12437,15500,13005,12270,25171,114332,15486
"350","E01000363",20065,14021,6534,8763,1395,8480,23140,82398,6102
"351","E01000364",15133,16118,8737,6714,11863,12110,12310,82985,6244
"352","E01000365",23543,18816,18651,10213,10683,15583,19908,117397,16479
"353","E01000366",10870,13313,4615,8338,7810,14567,18045,77558,5028
"354","E01000367",7329,23944,13326,1608,28732,27234,11507,113680,15278
"355","E01000368",5431,27489,21451,2346,30831,29000,13509,130057,20547
"356","E01000369",20478,24578,14564,10756,12745,16579,1503,101203,11230
"357","E01000370",24366,20123,15706,18645,14387,12318,4627,110172,14097
"358","E01000371",15946,17783,7903,6703,7406,7447,16116,79304,5406
"359","E01000372",11231,22856,19594,4899,28267,26764,11697,125308,19033
"360","E01000373",836,11072,3222,433,30570,21419,6268,73820,4254
"361","E01000374",6101,27448,20198,1138,30398,29205,16968,131456,21006
"362","E01000375",4920,15834,7916,3347,20773,18319,20277,91386,8424
"363","E01000376",10923,19856,6966,4881,16636,14074,10899,84235,6532
"364","E01000377",17921,17930,15687,15480,14085,10193,13042,104338,12224
"365","E01000379",11926,19180,13802,8823,20448,21075,9682,104936,12415
"366","E01000380",19291,26589,26943,29553,29479,21311,20019,173185,31589
"367","E01000381",14818,26859,23951,8578,26387,22892,23733,147218,25960
"368","E01000382",20511,16325,9037,9308,7276,2556,7829,72842,4066
"369","E01000383",23880,22273,11278,17783,16199,17714,1685,110812,14310
"370","E01000384",16707,12291,6649,11748,20174,16246,1629,85444,6829
"371","E01000385",8259,24871,21073,3085,29725,28129,16158,131300,20941
"372","E01000386",15244,24994,30599,13331,31842,29777,6917,152704,27448
"373","E01000387",21875,16164,10084,15979,9090,10636,3055,86883,7198
"374","E01000388",25191,18824,9631,15849,3481,11502,19034,103512,11981
"375","E01000389",20855,16514,9477,15526,18041,13484,23043,116940,16331
"376","E01000390",19456,16754,5836,9743,10885,8214,10213,81101,5792
"377","E01000391",12057,19166,7264,4440,11160,14415,14876,83378,6340
"378","E01000392",5231,17301,6980,4130,25491,23348,21909,104390,12237
"379","E01000393",11891,14984,3319,6532,190,5684,23818,66418,2890
"380","E01000394",22402,16085,16431,14198,12341,13146,17619,112222,14785
"381","E01000395",17395,17489,5172,6995,6560,2150,20736,76497,4816
"382","E01000396",16093,17096,2057,6404,1678,5685,12057,61070,2103
"383","E01000398",16864,24863,17824,11809,22748,19529,7713,121350,17721
"384","E01000399",21338,21946,8225,14643,9826,5943,9322,91243,8367
"385","E01000400",15699,19958,5658,11644,9270,15745,9683,87657,7413
"386","E01000401",18554,25924,28042,6560,25395,21980,8609,135064,22163
"387","E01000402",12920,23541,13803,6872,26971,23785,203,108095,13409
"388","E01000403",15963,22864,22705,8599,30151,26818,26862,153962,27773
"389","E01000404",807,15761,8310,1418,29193,28130,8673,92292,8678
"390","E01000405",1666,18253,6822,970,20677,25599,17853,91840,8543
"391","E01000406",2937,10901,4112,2141,14983,22496,11930,69500,3420
"392","E01000407",21775,14825,12134,14194,16341,16247,28339,123855,18518
"393","E01000408",4840,22376,4315,1594,15468,25530,22855,96978,9957
"394","E01000409",15091,21324,1968,5837,1473,3221,15802,64716,2649
"395","E01000410",11847,17459,831,3914,2202,2769,20970,59992,1954
